C,Gamma,Kernel,RUN1_train,RUN1_dev,RUN1_test,RUN2_train,RUN2_dev,RUN2_test,RUN3_train,RUN3_dev,RUN3_test,MEAN_train,MEAN_dev,MEAN_test
0.1,1.0,rbf,0.10342084327764518,0.0962962962962963,0.1,0.10342084327764518,0.0962962962962963,0.1,0.10342084327764518,0.0962962962962963,0.1,0.10342084327764518,0.09629629629629628,0.10000000000000002
0.1,1.0,poly,1.0,0.9222222222222223,0.9740740740740741,1.0,0.9222222222222223,0.9740740740740741,1.0,0.9222222222222223,0.9740740740740741,1.0,0.9222222222222222,0.9740740740740742
0.1,1.0,sigmoid,0.10342084327764518,0.0962962962962963,0.1,0.10342084327764518,0.0962962962962963,0.1,0.10342084327764518,0.0962962962962963,0.1,0.10342084327764518,0.09629629629629628,0.10000000000000002
0.1,0.1,rbf,0.10342084327764518,0.0962962962962963,0.1,0.10342084327764518,0.0962962962962963,0.1,0.10342084327764518,0.0962962962962963,0.1,0.10342084327764518,0.09629629629629628,0.10000000000000002
0.1,0.1,poly,1.0,0.9222222222222223,0.9740740740740741,1.0,0.9222222222222223,0.9740740740740741,1.0,0.9222222222222223,0.9740740740740741,1.0,0.9222222222222222,0.9740740740740742
0.1,0.1,sigmoid,0.10342084327764518,0.0962962962962963,0.1,0.10342084327764518,0.0962962962962963,0.1,0.10342084327764518,0.0962962962962963,0.1,0.10342084327764518,0.09629629629629628,0.10000000000000002
0.1,0.01,rbf,0.10342084327764518,0.0962962962962963,0.1,0.10342084327764518,0.0962962962962963,0.1,0.10342084327764518,0.0962962962962963,0.1,0.10342084327764518,0.09629629629629628,0.10000000000000002
0.1,0.01,poly,1.0,0.9222222222222223,0.9740740740740741,1.0,0.9222222222222223,0.9740740740740741,1.0,0.9222222222222223,0.9740740740740741,1.0,0.9222222222222222,0.9740740740740742
0.1,0.01,sigmoid,0.10342084327764518,0.0962962962962963,0.1,0.10342084327764518,0.0962962962962963,0.1,0.10342084327764518,0.0962962962962963,0.1,0.10342084327764518,0.09629629629629628,0.10000000000000002
0.1,0.001,rbf,0.9761336515513126,0.9037037037037037,0.9555555555555556,0.9761336515513126,0.9037037037037037,0.9555555555555556,0.9761336515513126,0.9037037037037037,0.9555555555555556,0.9761336515513127,0.9037037037037038,0.9555555555555556
0.1,0.001,poly,1.0,0.9259259259259259,0.9777777777777777,1.0,0.9259259259259259,0.9777777777777777,1.0,0.9259259259259259,0.9777777777777777,1.0,0.9259259259259259,0.9777777777777777
0.1,0.001,sigmoid,0.11933174224343675,0.11481481481481481,0.11481481481481481,0.11933174224343675,0.11481481481481481,0.11481481481481481,0.11933174224343675,0.11481481481481481,0.11481481481481481,0.11933174224343675,0.11481481481481481,0.11481481481481481
1.0,1.0,rbf,1.0,0.0962962962962963,0.1,1.0,0.0962962962962963,0.1,1.0,0.0962962962962963,0.1,1.0,0.09629629629629628,0.10000000000000002
1.0,1.0,poly,1.0,0.9222222222222223,0.9740740740740741,1.0,0.9222222222222223,0.9740740740740741,1.0,0.9222222222222223,0.9740740740740741,1.0,0.9222222222222222,0.9740740740740742
1.0,1.0,sigmoid,0.10342084327764518,0.0962962962962963,0.1,0.10342084327764518,0.0962962962962963,0.1,0.10342084327764518,0.0962962962962963,0.1,0.10342084327764518,0.09629629629629628,0.10000000000000002
1.0,0.1,rbf,1.0,0.0962962962962963,0.1,1.0,0.0962962962962963,0.1,1.0,0.0962962962962963,0.1,1.0,0.09629629629629628,0.10000000000000002
1.0,0.1,poly,1.0,0.9222222222222223,0.9740740740740741,1.0,0.9222222222222223,0.9740740740740741,1.0,0.9222222222222223,0.9740740740740741,1.0,0.9222222222222222,0.9740740740740742
1.0,0.1,sigmoid,0.10342084327764518,0.0962962962962963,0.1,0.10342084327764518,0.0962962962962963,0.1,0.10342084327764518,0.0962962962962963,0.1,0.10342084327764518,0.09629629629629628,0.10000000000000002
1.0,0.01,rbf,1.0,0.6370370370370371,0.7555555555555555,1.0,0.6370370370370371,0.7555555555555555,1.0,0.6370370370370371,0.7555555555555555,1.0,0.6370370370370371,0.7555555555555555
1.0,0.01,poly,1.0,0.9222222222222223,0.9740740740740741,1.0,0.9222222222222223,0.9740740740740741,1.0,0.9222222222222223,0.9740740740740741,1.0,0.9222222222222222,0.9740740740740742
1.0,0.01,sigmoid,0.10342084327764518,0.0962962962962963,0.1,0.10342084327764518,0.0962962962962963,0.1,0.10342084327764518,0.0962962962962963,0.1,0.10342084327764518,0.09629629629629628,0.10000000000000002
1.0,0.001,rbf,0.9992044550517104,0.9481481481481482,0.9925925925925926,0.9992044550517104,0.9481481481481482,0.9925925925925926,0.9992044550517104,0.9481481481481482,0.9925925925925926,0.9992044550517104,0.9481481481481482,0.9925925925925926
1.0,0.001,poly,1.0,0.9222222222222223,0.9740740740740741,1.0,0.9222222222222223,0.9740740740740741,1.0,0.9222222222222223,0.9740740740740741,1.0,0.9222222222222222,0.9740740740740742
1.0,0.001,sigmoid,0.6945107398568019,0.6185185185185185,0.7,0.6945107398568019,0.6185185185185185,0.7,0.6945107398568019,0.6185185185185185,0.7,0.6945107398568019,0.6185185185185185,0.6999999999999998
10.0,1.0,rbf,1.0,0.0962962962962963,0.1,1.0,0.0962962962962963,0.1,1.0,0.0962962962962963,0.1,1.0,0.09629629629629628,0.10000000000000002
10.0,1.0,poly,1.0,0.9222222222222223,0.9740740740740741,1.0,0.9222222222222223,0.9740740740740741,1.0,0.9222222222222223,0.9740740740740741,1.0,0.9222222222222222,0.9740740740740742
10.0,1.0,sigmoid,0.10342084327764518,0.0962962962962963,0.1,0.10342084327764518,0.0962962962962963,0.1,0.10342084327764518,0.0962962962962963,0.1,0.10342084327764518,0.09629629629629628,0.10000000000000002
10.0,0.1,rbf,1.0,0.0962962962962963,0.1,1.0,0.0962962962962963,0.1,1.0,0.0962962962962963,0.1,1.0,0.09629629629629628,0.10000000000000002
10.0,0.1,poly,1.0,0.9222222222222223,0.9740740740740741,1.0,0.9222222222222223,0.9740740740740741,1.0,0.9222222222222223,0.9740740740740741,1.0,0.9222222222222222,0.9740740740740742
10.0,0.1,sigmoid,0.10342084327764518,0.0962962962962963,0.1,0.10342084327764518,0.0962962962962963,0.1,0.10342084327764518,0.0962962962962963,0.1,0.10342084327764518,0.09629629629629628,0.10000000000000002
10.0,0.01,rbf,1.0,0.6370370370370371,0.7592592592592593,1.0,0.6370370370370371,0.7592592592592593,1.0,0.6370370370370371,0.7592592592592593,1.0,0.6370370370370371,0.7592592592592592
10.0,0.01,poly,1.0,0.9222222222222223,0.9740740740740741,1.0,0.9222222222222223,0.9740740740740741,1.0,0.9222222222222223,0.9740740740740741,1.0,0.9222222222222222,0.9740740740740742
10.0,0.01,sigmoid,0.10342084327764518,0.0962962962962963,0.1,0.10342084327764518,0.0962962962962963,0.1,0.10342084327764518,0.0962962962962963,0.1,0.10342084327764518,0.09629629629629628,0.10000000000000002
10.0,0.001,rbf,1.0,0.9518518518518518,0.9925925925925926,1.0,0.9518518518518518,0.9925925925925926,1.0,0.9518518518518518,0.9925925925925926,1.0,0.9518518518518518,0.9925925925925926
10.0,0.001,poly,1.0,0.9222222222222223,0.9740740740740741,1.0,0.9222222222222223,0.9740740740740741,1.0,0.9222222222222223,0.9740740740740741,1.0,0.9222222222222222,0.9740740740740742
10.0,0.001,sigmoid,0.6499602227525855,0.5777777777777777,0.6111111111111112,0.6499602227525855,0.5777777777777777,0.6111111111111112,0.6499602227525855,0.5777777777777777,0.6111111111111112,0.6499602227525855,0.5777777777777777,0.6111111111111112
100.0,1.0,rbf,1.0,0.0962962962962963,0.1,1.0,0.0962962962962963,0.1,1.0,0.0962962962962963,0.1,1.0,0.09629629629629628,0.10000000000000002
100.0,1.0,poly,1.0,0.9222222222222223,0.9740740740740741,1.0,0.9222222222222223,0.9740740740740741,1.0,0.9222222222222223,0.9740740740740741,1.0,0.9222222222222222,0.9740740740740742
100.0,1.0,sigmoid,0.10342084327764518,0.0962962962962963,0.1,0.10342084327764518,0.0962962962962963,0.1,0.10342084327764518,0.0962962962962963,0.1,0.10342084327764518,0.09629629629629628,0.10000000000000002
100.0,0.1,rbf,1.0,0.0962962962962963,0.1,1.0,0.0962962962962963,0.1,1.0,0.0962962962962963,0.1,1.0,0.09629629629629628,0.10000000000000002
100.0,0.1,poly,1.0,0.9222222222222223,0.9740740740740741,1.0,0.9222222222222223,0.9740740740740741,1.0,0.9222222222222223,0.9740740740740741,1.0,0.9222222222222222,0.9740740740740742
100.0,0.1,sigmoid,0.10342084327764518,0.0962962962962963,0.1,0.10342084327764518,0.0962962962962963,0.1,0.10342084327764518,0.0962962962962963,0.1,0.10342084327764518,0.09629629629629628,0.10000000000000002
100.0,0.01,rbf,1.0,0.6370370370370371,0.7592592592592593,1.0,0.6370370370370371,0.7592592592592593,1.0,0.6370370370370371,0.7592592592592593,1.0,0.6370370370370371,0.7592592592592592
100.0,0.01,poly,1.0,0.9222222222222223,0.9740740740740741,1.0,0.9222222222222223,0.9740740740740741,1.0,0.9222222222222223,0.9740740740740741,1.0,0.9222222222222222,0.9740740740740742
100.0,0.01,sigmoid,0.10342084327764518,0.0962962962962963,0.1,0.10342084327764518,0.0962962962962963,0.1,0.10342084327764518,0.0962962962962963,0.1,0.10342084327764518,0.09629629629629628,0.10000000000000002
100.0,0.001,rbf,1.0,0.9518518518518518,0.9925925925925926,1.0,0.9518518518518518,0.9925925925925926,1.0,0.9518518518518518,0.9925925925925926,1.0,0.9518518518518518,0.9925925925925926
100.0,0.001,poly,1.0,0.9222222222222223,0.9740740740740741,1.0,0.9222222222222223,0.9740740740740741,1.0,0.9222222222222223,0.9740740740740741,1.0,0.9222222222222222,0.9740740740740742
100.0,0.001,sigmoid,0.6229116945107399,0.5259259259259259,0.5851851851851851,0.6229116945107399,0.5259259259259259,0.5851851851851851,0.6229116945107399,0.5259259259259259,0.5851851851851851,0.6229116945107399,0.5259259259259259,0.5851851851851851
